sample	dataset	species	run_accession	fastq_1	fastq_2	layout	age	treatment	condition	tissue	bioproject	biosample	sra_study	sample_name	biological_replicate
rat_18mo_Control_1	rat_aging_muscle	rat	SRR17380112	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR173/012/SRR17380112/SRR17380112.fastq.gz		single	18mo	Control	18mo_Control	Quadriceps	PRJNA793055	SAMN24499254	SRP352860	18C-1	18C_replicate_1
rat_18mo_Control_2	rat_aging_muscle	rat	SRR17380111	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR173/011/SRR17380111/SRR17380111.fastq.gz		single	18mo	Control	18mo_Control	Quadriceps	PRJNA793055	SAMN24499255	SRP352860	18C-2	18C_replicate_2
rat_18mo_Control_3	rat_aging_muscle	rat	SRR17380100	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR173/000/SRR17380100/SRR17380100.fastq.gz		single	18mo	Control	18mo_Control	Quadriceps	PRJNA793055	SAMN24499256	SRP352860	18C-3	18C_replicate_3
rat_18mo_Control_4	rat_aging_muscle	rat	SRR17380097	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR173/097/SRR17380097/SRR17380097.fastq.gz		single	18mo	Control	18mo_Control	Quadriceps	PRJNA793055	SAMN24499257	SRP352860	18C-4	18C_replicate_4
rat_18mo_Control_5	rat_aging_muscle	rat	SRR17380096	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR173/096/SRR17380096/SRR17380096.fastq.gz		single	18mo	Control	18mo_Control	Quadriceps	PRJNA793055	SAMN24499258	SRP352860	18C-5	18C_replicate_5
rat_18mo_GPA_1	rat_aging_muscle	rat	SRR17380095	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR173/095/SRR17380095/SRR17380095.fastq.gz		single	18mo	GPA	18mo_GPA	Quadriceps	PRJNA793055	SAMN24499259	SRP352860	18G-1	18G_replicate_1
rat_18mo_GPA_2	rat_aging_muscle	rat	SRR17380094	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR173/094/SRR17380094/SRR17380094.fastq.gz		single	18mo	GPA	18mo_GPA	Quadriceps	PRJNA793055	SAMN24499260	SRP352860	18G-2	18G_replicate_2
rat_18mo_GPA_3	rat_aging_muscle	rat	SRR17380093	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR173/093/SRR17380093/SRR17380093.fastq.gz		single	18mo	GPA	18mo_GPA	Quadriceps	PRJNA793055	SAMN24499261	SRP352860	18G-3	18G_replicate_3
rat_18mo_GPA_4	rat_aging_muscle	rat	SRR17380092	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR173/092/SRR17380092/SRR17380092.fastq.gz		single	18mo	GPA	18mo_GPA	Quadriceps	PRJNA793055	SAMN24499262	SRP352860	18G-4	18G_replicate_4
rat_18mo_GPA_5	rat_aging_muscle	rat	SRR17380091	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR173/091/SRR17380091/SRR17380091.fastq.gz		single	18mo	GPA	18mo_GPA	Quadriceps	PRJNA793055	SAMN24499263	SRP352860	18G-5	18G_replicate_5
